utc_timestamp,cet_cest_timestamp,DE_solar_generation_actual,DE_wind_generation_actual
2015-12-31T23:00:00Z,2016-01-01T00:00:00+0100,0,8647
2016-01-01T00:00:00Z,2016-01-01T01:00:00+0100,0,8579
2016-01-01T01:00:00Z,2016-01-01T02:00:00+0100,0,8542
2016-01-01T02:00:00Z,2016-01-01T03:00:00+0100,0,8443
2016-01-01T03:00:00Z,2016-01-01T04:00:00+0100,0,8295
2016-01-01T04:00:00Z,2016-01-01T05:00:00+0100,0,7319
2016-01-01T05:00:00Z,2016-01-01T06:00:00+0100,0,6574
2016-01-01T06:00:00Z,2016-01-01T07:00:00+0100,0,5624
2016-01-01T07:00:00Z,2016-01-01T08:00:00+0100,137,4644
2016-01-01T08:00:00Z,2016-01-01T09:00:00+0100,964,3733
2016-01-01T09:00:00Z,2016-01-01T10:00:00+0100,2522,2776
2016-01-01T10:00:00Z,2016-01-01T11:00:00+0100,3767,1830
2016-01-01T11:00:00Z,2016-01-01T12:00:00+0100,4121,1287
2016-01-01T12:00:00Z,2016-01-01T13:00:00+0100,3717,789
2016-01-01T13:00:00Z,2016-01-01T14:00:00+0100,2442,495
2016-01-01T14:00:00Z,2016-01-01T15:00:00+0100,841,405
2016-01-01T15:00:00Z,2016-01-01T16:00:00+0100,51,665
2016-01-01T16:00:00Z,2016-01-01T17:00:00+0100,0,1299
2016-01-01T17:00:00Z,2016-01-01T18:00:00+0100,0,2147
2016-01-01T18:00:00Z,2016-01-01T19:00:00+0100,0,3372
2016-01-01T19:00:00Z,2016-01-01T20:00:00+0100,0,4383
2016-01-01T20:00:00Z,2016-01-01T21:00:00+0100,0,5409
2016-01-01T21:00:00Z,2016-01-01T22:00:00+0100,0,6180
2016-01-01T22:00:00Z,2016-01-01T23:00:00+0100,0,6958
2016-01-01T23:00:00Z,2016-01-02T00:00:00+0100,0,7461
2016-01-02T00:00:00Z,2016-01-02T01:00:00+0100,0,8763
2016-01-02T01:00:00Z,2016-01-02T02:00:00+0100,0,10715
2016-01-02T02:00:00Z,2016-01-02T03:00:00+0100,0,11949
2016-01-02T03:00:00Z,2016-01-02T04:00:00+0100,0,13451
2016-01-02T04:00:00Z,2016-01-02T05:00:00+0100,0,14639
2016-01-02T05:00:00Z,2016-01-02T06:00:00+0100,0,15480
2016-01-02T06:00:00Z,2016-01-02T07:00:00+0100,0,16063
2016-01-02T07:00:00Z,2016-01-02T08:00:00+0100,106,16588
2016-01-02T08:00:00Z,2016-01-02T09:00:00+0100,593,17324
2016-01-02T09:00:00Z,2016-01-02T10:00:00+0100,1341,17888
2016-01-02T10:00:00Z,2016-01-02T11:00:00+0100,1865,18265
2016-01-02T11:00:00Z,2016-01-02T12:00:00+0100,2043,18329
2016-01-02T12:00:00Z,2016-01-02T13:00:00+0100,1869,18394
2016-01-02T13:00:00Z,2016-01-02T14:00:00+0100,1177,18539
2016-01-02T14:00:00Z,2016-01-02T15:00:00+0100,382,18754
2016-01-02T15:00:00Z,2016-01-02T16:00:00+0100,27,19192
2016-01-02T16:00:00Z,2016-01-02T17:00:00+0100,0,19913
2016-01-02T17:00:00Z,2016-01-02T18:00:00+0100,0,20215
2016-01-02T18:00:00Z,2016-01-02T19:00:00+0100,0,20107
2016-01-02T19:00:00Z,2016-01-02T20:00:00+0100,0,19693
2016-01-02T20:00:00Z,2016-01-02T21:00:00+0100,0,19202
2016-01-02T21:00:00Z,2016-01-02T22:00:00+0100,0,18460
2016-01-02T22:00:00Z,2016-01-02T23:00:00+0100,0,18772
2016-01-02T23:00:00Z,2016-01-03T00:00:00+0100,0,18924
2016-01-03T00:00:00Z,2016-01-03T01:00:00+0100,0,18597
2016-01-03T01:00:00Z,2016-01-03T02:00:00+0100,0,18600
2016-01-03T02:00:00Z,2016-01-03T03:00:00+0100,0,18440
